2019-06-06 20:32:15,101 - DEBUG - {'total': 64384004096, 'available': 61630554112, 'percent': 4.3, 'used': 2142302208, 'free': 61456072704, 'active': 2281062400, 'inactive': 318201856, 'buffers': 34062336, 'cached': 751566848, 'shared': 6365184, 'slab': 57896960}
2019-06-06 20:32:24,129 - DEBUG - {'total': 64384004096, 'available': 61630672896, 'percent': 4.3, 'used': 2142158848, 'free': 61456044032, 'active': 2281062400, 'inactive': 318349312, 'buffers': 34070528, 'cached': 751730688, 'shared': 6365184, 'slab': 57802752}
2019-06-06 20:33:21,144 - DEBUG - {'total': 64384004096, 'available': 61629804544, 'percent': 4.3, 'used': 2143080448, 'free': 61454794752, 'active': 2282151936, 'inactive': 318689280, 'buffers': 34099200, 'cached': 752029696, 'shared': 6365184, 'slab': 57655296}
2019-06-06 20:33:33,455 - DEBUG - {'total': 64384004096, 'available': 61629980672, 'percent': 4.3, 'used': 2142846976, 'free': 61454786560, 'active': 2281861120, 'inactive': 318840832, 'buffers': 34107392, 'cached': 752263168, 'shared': 6365184, 'slab': 57925632}
2019-06-06 20:33:47,305 - DEBUG - {'total': 64384004096, 'available': 61629853696, 'percent': 4.3, 'used': 2143010816, 'free': 61454426112, 'active': 2281869312, 'inactive': 319053824, 'buffers': 34115584, 'cached': 752451584, 'shared': 6365184, 'slab': 58245120}
2019-06-06 20:34:03,723 - DEBUG - {'total': 64384004096, 'available': 61629460480, 'percent': 4.3, 'used': 2143404032, 'free': 61453848576, 'active': 2281893888, 'inactive': 319221760, 'buffers': 34131968, 'cached': 752619520, 'shared': 6365184, 'slab': 58458112}
2019-06-06 20:34:59,622 - DEBUG - {'total': 64384004096, 'available': 61629865984, 'percent': 4.3, 'used': 2142994432, 'free': 61453991936, 'active': 2282954752, 'inactive': 319471616, 'buffers': 34144256, 'cached': 752873472, 'shared': 6365184, 'slab': 57274368}
2019-06-06 20:35:41,191 - DEBUG - {'total': 64384004096, 'available': 61627019264, 'percent': 4.3, 'used': 2145820672, 'free': 61450911744, 'active': 2282811392, 'inactive': 319676416, 'buffers': 34160640, 'cached': 753111040, 'shared': 6365184, 'slab': 59748352}
2019-06-06 20:36:02,885 - DEBUG - {'total': 64384004096, 'available': 61628411904, 'percent': 4.3, 'used': 2144407552, 'free': 61452005376, 'active': 2282852352, 'inactive': 319950848, 'buffers': 34168832, 'cached': 753422336, 'shared': 6365184, 'slab': 58302464}
2019-06-06 20:36:23,566 - DEBUG - {'total': 64384004096, 'available': 61628223488, 'percent': 4.3, 'used': 2144587776, 'free': 61451571200, 'active': 2282954752, 'inactive': 320180224, 'buffers': 34193408, 'cached': 753651712, 'shared': 6365184, 'slab': 58478592}
2019-06-06 20:36:55,809 - DEBUG - {'total': 64384004096, 'available': 61627305984, 'percent': 4.3, 'used': 2145505280, 'free': 61450338304, 'active': 2283511808, 'inactive': 320471040, 'buffers': 34209792, 'cached': 753950720, 'shared': 6365184, 'slab': 58953728}
2019-06-06 20:37:04,779 - DEBUG - {'total': 64384004096, 'available': 61628641280, 'percent': 4.3, 'used': 2144153600, 'free': 61451550720, 'active': 2282774528, 'inactive': 320581632, 'buffers': 34217984, 'cached': 754081792, 'shared': 6365184, 'slab': 58261504}
2019-06-06 20:37:24,941 - DEBUG - {'total': 64384004096, 'available': 61627699200, 'percent': 4.3, 'used': 2145058816, 'free': 61450403840, 'active': 2282782720, 'inactive': 320753664, 'buffers': 34234368, 'cached': 754307072, 'shared': 6365184, 'slab': 59502592}
2019-06-06 20:37:46,917 - DEBUG - {'total': 64384004096, 'available': 61628850176, 'percent': 4.3, 'used': 2143899648, 'free': 61451358208, 'active': 2282790912, 'inactive': 320942080, 'buffers': 34246656, 'cached': 754499584, 'shared': 6365184, 'slab': 58572800}
2019-06-06 20:38:01,272 - DEBUG - {'total': 64384004096, 'available': 61629063168, 'percent': 4.3, 'used': 2143641600, 'free': 61451456512, 'active': 2282803200, 'inactive': 321044480, 'buffers': 34254848, 'cached': 754651136, 'shared': 6365184, 'slab': 58220544}
2019-06-06 20:38:10,631 - DEBUG - {'total': 64384004096, 'available': 61629255680, 'percent': 4.3, 'used': 2143539200, 'free': 61451382784, 'active': 2282844160, 'inactive': 321261568, 'buffers': 34263040, 'cached': 754819072, 'shared': 6365184, 'slab': 57999360}
2019-06-06 20:38:41,288 - DEBUG - {'total': 64384004096, 'available': 61628461056, 'percent': 4.3, 'used': 2144305152, 'free': 61450326016, 'active': 2282942464, 'inactive': 321486848, 'buffers': 34279424, 'cached': 755093504, 'shared': 6365184, 'slab': 58834944}
2019-06-06 20:39:06,073 - DEBUG - {'total': 64384004096, 'available': 61627658240, 'percent': 4.3, 'used': 2145112064, 'free': 61449334784, 'active': 2282872832, 'inactive': 321662976, 'buffers': 34287616, 'cached': 755269632, 'shared': 6365184, 'slab': 59150336}
2019-06-06 20:39:24,264 - DEBUG - {'total': 64384004096, 'available': 61627928576, 'percent': 4.3, 'used': 2144813056, 'free': 61449445376, 'active': 2282876928, 'inactive': 321818624, 'buffers': 34308096, 'cached': 755437568, 'shared': 6365184, 'slab': 59035648}
2019-06-06 20:39:36,462 - DEBUG - {'total': 64384004096, 'available': 61628534784, 'percent': 4.3, 'used': 2144198656, 'free': 61449904128, 'active': 2282893312, 'inactive': 321945600, 'buffers': 34316288, 'cached': 755585024, 'shared': 6365184, 'slab': 58593280}
2019-06-06 20:40:11,845 - DEBUG - {'total': 64384004096, 'available': 61625679872, 'percent': 4.3, 'used': 2147020800, 'free': 61446787072, 'active': 2283364352, 'inactive': 322113536, 'buffers': 34344960, 'cached': 755851264, 'shared': 6365184, 'slab': 60743680}
2019-06-06 20:40:26,911 - DEBUG - {'total': 64384004096, 'available': 61627686912, 'percent': 4.3, 'used': 2144985088, 'free': 61448658944, 'active': 2283499520, 'inactive': 322236416, 'buffers': 34353152, 'cached': 756006912, 'shared': 6365184, 'slab': 58855424}
2019-06-06 20:40:39,669 - DEBUG - {'total': 64384004096, 'available': 61628534784, 'percent': 4.3, 'used': 2144112640, 'free': 61449334784, 'active': 2283503616, 'inactive': 322404352, 'buffers': 34365440, 'cached': 756191232, 'shared': 6365184, 'slab': 57966592}
2019-06-06 20:40:52,092 - DEBUG - {'total': 64384004096, 'available': 61628698624, 'percent': 4.3, 'used': 2143985664, 'free': 61449302016, 'active': 2283257856, 'inactive': 322584576, 'buffers': 34373632, 'cached': 756342784, 'shared': 6365184, 'slab': 58036224}
2019-06-06 20:41:08,101 - DEBUG - {'total': 64384004096, 'available': 61628063744, 'percent': 4.3, 'used': 2144641024, 'free': 61448441856, 'active': 2283274240, 'inactive': 322768896, 'buffers': 34390016, 'cached': 756531200, 'shared': 6365184, 'slab': 58716160}
