2019-06-07 01:08:45,525 - DEBUG - {'total': 64384004096, 'available': 58479255552, 'percent': 9.2, 'used': 5299187712, 'free': 58272202752, 'active': 5581774848, 'inactive': 276320256, 'buffers': 40005632, 'cached': 772608000, 'shared': 69632, 'slab': 51126272}
2019-06-07 01:12:07,399 - DEBUG - {'total': 64384004096, 'available': 58478870528, 'percent': 9.2, 'used': 5299580928, 'free': 58271580160, 'active': 5581848576, 'inactive': 276484096, 'buffers': 40079360, 'cached': 772763648, 'shared': 69632, 'slab': 51142656}
2019-06-07 01:15:22,000 - DEBUG - {'total': 64384004096, 'available': 58479370240, 'percent': 9.2, 'used': 5299077120, 'free': 58271875072, 'active': 5581598720, 'inactive': 276557824, 'buffers': 40153088, 'cached': 772898816, 'shared': 69632, 'slab': 51105792}
2019-06-07 01:25:58,508 - DEBUG - {'total': 64384004096, 'available': 58480279552, 'percent': 9.2, 'used': 5298163712, 'free': 58272415744, 'active': 5581950976, 'inactive': 276643840, 'buffers': 40361984, 'cached': 773062656, 'shared': 69632, 'slab': 51015680}
2019-06-07 01:36:13,639 - DEBUG - {'total': 64384004096, 'available': 58479321088, 'percent': 9.2, 'used': 5299109888, 'free': 58270998528, 'active': 5582249984, 'inactive': 276873216, 'buffers': 40579072, 'cached': 773316608, 'shared': 69632, 'slab': 51044352}
2019-06-07 01:47:38,231 - DEBUG - {'total': 64384004096, 'available': 58479595520, 'percent': 9.2, 'used': 5298810880, 'free': 58270785536, 'active': 5582778368, 'inactive': 277082112, 'buffers': 40824832, 'cached': 773582848, 'shared': 69632, 'slab': 51228672}
2019-06-07 01:55:19,121 - DEBUG - {'total': 64384004096, 'available': 58479386624, 'percent': 9.2, 'used': 5299019776, 'free': 58270277632, 'active': 5583044608, 'inactive': 277164032, 'buffers': 40984576, 'cached': 773722112, 'shared': 69632, 'slab': 51240960}
2019-06-07 02:10:35,042 - DEBUG - {'total': 64384004096, 'available': 58478669824, 'percent': 9.2, 'used': 5299720192, 'free': 58269061120, 'active': 5583298560, 'inactive': 277368832, 'buffers': 41267200, 'cached': 773955584, 'shared': 69632, 'slab': 51269632}
2019-06-07 02:14:00,793 - DEBUG - {'total': 64384004096, 'available': 58479185920, 'percent': 9.2, 'used': 5299208192, 'free': 58269405184, 'active': 5583028224, 'inactive': 277446656, 'buffers': 41336832, 'cached': 774053888, 'shared': 69632, 'slab': 51253248}
2019-06-07 02:26:04,650 - DEBUG - {'total': 64384004096, 'available': 58478948352, 'percent': 9.2, 'used': 5299441664, 'free': 58268770304, 'active': 5583585280, 'inactive': 277573632, 'buffers': 41558016, 'cached': 774234112, 'shared': 69632, 'slab': 51257344}
2019-06-07 02:29:27,880 - DEBUG - {'total': 64384004096, 'available': 58478919680, 'percent': 9.2, 'used': 5299441664, 'free': 58268483584, 'active': 5583495168, 'inactive': 277741568, 'buffers': 41631744, 'cached': 774447104, 'shared': 69632, 'slab': 51363840}
2019-06-07 02:34:52,743 - DEBUG - {'total': 64384004096, 'available': 58479058944, 'percent': 9.2, 'used': 5299302400, 'free': 58268307456, 'active': 5583609856, 'inactive': 277901312, 'buffers': 41754624, 'cached': 774639616, 'shared': 69632, 'slab': 51232768}
